category,code,name_df,name,source,frequency,original,order,transf,tcode,transf_code,days_lag,where
Prices,193,ipc_fipe,Índice de preços ao consumidor-São Paulo (IPC-Fipe)	,Fipe,M,Monthly var %,I(0),none,0,5,17,BCB
Prices,27574,commdt_index_br,Índice de Commodities - Brasil (IC-Br),BCB-Depec,M,Index,I(1),diff,2,1,8,BCB
Prices,27575,commdt_index_agro,Índice de Commodities - Brasil (IC-Br) - Agropecuária,BCB-Depec,M,Index,I(1),diff,2,1,8,BCB
Prices,27576,commdt_index_metal,Índice de Commodities - Brasil (IC-Br) - Metal,BCB-Depec,M,Index,I(2),diff_diff,,1,8,BCB
Prices,7495,sinapi,Custo da Construção - SINAPI,IBGE,M,Monthly var %,I(0),none,0,5,10,BCB
Prices,7493,ccb_sp,Custo da Cesta Básica - São Paulo ,Dieese,M,u.m.c,I(1),diff,2,4,10,BCB
Prices,7481,ccb_bh,Custo da Cesta Básica - Belo Horizonte ,Dieese,M,u.m.c,I(1),diff,2,4,10,BCB
Prices,7491,ccb_rj,Custo da Cesta Básica - Rio de Janeiro ,Dieese,M,u.m.c,I(1),diff,2,4,10,BCB
Prices,7482,ccb_bsb,Custo da cesta básica - Brasília,Dieese,M,u.m.c,I(1),diff,2,4,10,BCB
Prices,7492,ccb_sal,Custo da cesta básica - Salvador	,Dieese,M,u.m.c,I(1),diff,2,4,10,BCB
Labour ,24349,wage_mass_ind,Massa salarial real – indústria de transformação (2006=100)	,CNI ,M,Index,I(1),diff,2,3,7,BCB
Labour ,28763,new_caged,Novo Caged - Estoque de empregos formais - Total	,ME/MT,M,Units,I(2),diff_diff,,4,21,BCB
Labour ,28764,caged_agro,Novo Caged - Agropecuária	,ME/MT,M,Units,I(1),diff,2,4,21,BCB
Labour ,28765,caged_ind_ext,Novo Caged - Indústrias extrativas,ME/MT,M,Units,I(2),diff_diff,,3,21,BCB
Labour ,28766,caged_ind_transf,Novo Caged - Indústrias de transformação,ME/MT,M,Units,I(1),diff,2,4,21,BCB
Labour ,28770,caged_const,Novo Caged - Construção,ME/MT,M,Units,I(2),diff_diff,,4,21,BCB
Labour ,28771,caged_com,Novo Caged - Comércio,ME/MT,M,Units,I(2),diff_diff,,4,21,BCB
Labour ,28772,caged_servi,Novo Caged - Serviços,ME/MT,M,Units,I(2),diff_diff,,4,21,BCB
Labour ,24348,hrs_wkd_ind_transf,Número de horas trabalhadas – indústria de transformação (2006=100)	,CNI ,M,Index,I(1),diff,2,1,32,BCB
Labour ,24369,unem_rate_pnad,Taxa de desocupação - PNADC,IBGE,M,Monthly %,I(2),diff_diff,,6,50,BCB
Industry ,21859,ind_prod,Indicadores da produção (2012=100) - Produção Industrial - Geral	,IBGE,M,Index,I(1),diff,2,3,30,BCB
Industry ,21861,ind_prod_ext,Indicadores da produção (2012=100) - Produção Industrial - Extrativa mineral	,IBGE,M,Index,I(1),diff,2,3,30,BCB
Industry ,21862,ind_prod_transf,Indicadores da produção (2012=100) - Indústria de transformação,IBGE,M,Index,I(1),diff,2,3,30,BCB
Industry ,21863,ind_cap_goods,Indicadores da produção (2012=100) - Produção Industrial - Bens de capital	,IBGE,M,Index,I(1),diff,2,3,30,BCB
Industry ,21864,ind_prod_int_goods,Indicadores da produção (2012=100) - Bens intermediários,IBGE,M,Index,I(1),diff,2,3,30,BCB
Industry ,21865,ind_prod_man,Indicadores da produção (2012=100) - Produção Industrial - Bens de consumo	,IBGE,M,Index,I(1),diff,2,3,30,BCB
